Name,A Red,A Green,A Blue,B Red,B Green,B Blue,Choice,Is Correct
NathanPhone,35,189,200,35,201,160,b,false
NathanPhone,141,27,214,135,70,166,a,true
NathanPhone,212,226,120,255,190,135,a,true
NathanPhone,233,84,46,188,94,44,b,true
NathanPhone,242,232,190,255,255,214,b,true
NathanPhone,114,150,86,115,154,111,b,false
NathanPhone,204,177,149,166,216,101,b,true
NathanPhone,116,120,139,91,81,119,b,true
NathanPhone,164,85,81,208,79,124,b,true
NathanPhone,57,195,124,38,194,120,b,false
NathanPhone,172,143,150,124,155,136,a,true
NathanPhone,40,238,154,56,238,182,b,true
NathanPhone,83,247,178,127,209,189,b,true
NathanPhone,102,209,18,91,248,67,a,true
NathanPhone,220,205,246,255,242,238,a,true
NathanPhone,222,57,228,255,83,192,b,true
NathanPhone,23,180,5,0,167,0,a,false
NathanPhone,243,110,150,201,93,195,b,true
NathanPhone,192,65,160,179,51,186,a,false
NathanPhone,27,48,234,0,1,254,b,true
NathanPhone,176,202,143,153,202,184,a,true
NathanPhone,254,131,127,235,166,103,b,true
NathanPhone,89,97,100,101,119,119,a,false
NathanPhone,70,227,126,84,179,77,a,true
NathanPhone,221,111,238,226,98,223,a,true
NathanPhone,49,104,215,87,58,186,a,true
NathanPhone,42,32,83,8,68,98,a,true
NathanPhone,6,139,39,42,101,46,b,true
NathanPhone,63,254,245,92,255,225,b,false
Nathan,150,244,173,107,250,217,b,true
Nathan,26,253,45,41,202,4,a,true
Nathan,172,121,195,137,58,170,a,true
Nathan,2,215,51,0,248,4,b,true
Nathan,128,159,91,121,133,28,b,true
Nathan,195,21,204,176,38,186,b,true
Nathan,126,23,102,139,0,129,a,false
NathanPhone,32,106,146,23,118,138,a,true
NathanPhone,161,48,13,164,36,8,b,true
NathanPhone,243,142,82,234,151,77,b,true
NathanPhone,100,28,209,89,16,198,a,true
NathanPhone,249,107,84,255,109,96,a,false
NathanPhone,45,149,153,35,144,161,a,false
NathanPhone,8,126,19,2,126,9,a,false
NathanPhone,124,156,73,123,165,66,b,true
NathanPhone,156,132,198,146,127,186,b,false
NathanPhone,97,207,39,99,218,52,b,false
NathanPhone,119,176,103,125,183,110,a,true
NathanPhone,173,222,189,165,232,189,a,true
NathanPhone,236,41,230,246,30,235,a,true
NathanPhone,28,94,54,37,86,65,b,false
NathanPhone,152,68,197,160,63,186,a,true
NathanPhone,155,62,238,153,70,238,a,true
NathanPhone,42,181,20,31,193,26,a,false
NathanPhone,230,168,181,229,168,193,a,false
NathanPhone,136,175,84,146,186,80,b,false
NathanPhone,39,203,156,33,214,151,a,true
NathanPhone,64,242,167,68,253,161,b,false
NathanPhone,12,251,54,25,255,43,a,false
NathanPhone,182,84,49,192,80,39,a,false
NathanPhone,125,234,30,124,222,19,a,false
NathanPhone,181,120,133,155,102,152,a,true
NathanPhone,217,176,55,200,174,64,a,false
NathanPhone,11,244,115,0,224,105,a,false
NathanPhone,250,189,248,254,203,227,a,false
NathanPhone,127,76,191,104,73,187,b,false
NathanPhone,134,30,167,129,42,165,a,true
NathanPhone,99,252,197,74,242,188,b,false
NathanPhone,101,3,49,109,0,26,a,true
NathanPhone,244,15,220,218,40,233,b,true
NathanPhone,7,72,71,53,89,87,b,true
NathanPhone,232,237,221,238,245,179,a,true
NathanPhone,15,172,215,36,182,196,b,true
NathanPhone,141,64,123,145,22,138,a,true
